,realtime_start,realtime_end,date,Total Nonfarm Employment Value,Consumer Price Index Value,Real Gross Domestic Product Value
0,2022-02-11,2022-02-11,2000-01-01,131005,169.3,12935.252
1,2022-02-11,2022-02-11,2000-02-01,131124,170.0,
2,2022-02-11,2022-02-11,2000-03-01,131596,171.0,
3,2022-02-11,2022-02-11,2000-04-01,131888,170.9,13170.749
4,2022-02-11,2022-02-11,2000-05-01,132105,171.2,
5,2022-02-11,2022-02-11,2000-06-01,132061,172.2,
6,2022-02-11,2022-02-11,2000-07-01,132236,172.7,13183.89
7,2022-02-11,2022-02-11,2000-08-01,132230,172.7,
8,2022-02-11,2022-02-11,2000-09-01,132353,173.6,
9,2022-02-11,2022-02-11,2000-10-01,132351,173.9,13262.25
10,2022-02-11,2022-02-11,2000-11-01,132556,174.2,
11,2022-02-11,2022-02-11,2000-12-01,132709,174.6,
12,2022-02-11,2022-02-11,2001-01-01,132698,175.6,13219.251
13,2022-02-11,2022-02-11,2001-02-01,132789,176.0,
14,2022-02-11,2022-02-11,2001-03-01,132747,176.1,
15,2022-02-11,2022-02-11,2001-04-01,132463,176.4,13301.394
16,2022-02-11,2022-02-11,2001-05-01,132410,177.3,
17,2022-02-11,2022-02-11,2001-06-01,132299,177.7,
18,2022-02-11,2022-02-11,2001-07-01,132177,177.4,13248.142
19,2022-02-11,2022-02-11,2001-08-01,132028,177.4,
20,2022-02-11,2022-02-11,2001-09-01,131771,178.1,
21,2022-02-11,2022-02-11,2001-10-01,131454,177.6,13284.881
22,2022-02-11,2022-02-11,2001-11-01,131142,177.5,
23,2022-02-11,2022-02-11,2001-12-01,130982,177.4,
24,2022-02-11,2022-02-11,2002-01-01,130852,177.7,13394.91
25,2022-02-11,2022-02-11,2002-02-01,130736,178.0,
26,2022-02-11,2022-02-11,2002-03-01,130717,178.5,
27,2022-02-11,2022-02-11,2002-04-01,130623,179.3,13477.356
28,2022-02-11,2022-02-11,2002-05-01,130634,179.5,
29,2022-02-11,2022-02-11,2002-06-01,130684,179.6,
30,2022-02-11,2022-02-11,2002-07-01,130590,180.0,13531.741
31,2022-02-11,2022-02-11,2002-08-01,130587,180.5,
