,date,Total Nonfarm Employment Value,Consumer Price Index Value,Real Gross Domestic Product Value,Rail Passenger Miles,Air Revenue Passenger Miles
0,2000-01-01,131005,169.3,12935.252,445989040.0,56023689.0
1,2000-02-01,131124,170.0,,444723916.0,57553693.0
2,2000-03-01,131596,171.0,,455021981.0,58475162.0
3,2000-04-01,131888,170.9,13170.749,466392550.0,59115883.0
4,2000-05-01,132105,171.2,,474195126.0,60999552.0
5,2000-06-01,132061,172.2,,458487313.0,59984186.0
6,2000-07-01,132236,172.7,13183.89,471533267.0,59482475.0
7,2000-08-01,132230,172.7,,476049679.0,59036599.0
8,2000-09-01,132353,173.6,,481022462.0,61088841.0
9,2000-10-01,132351,173.9,13262.25,487718041.0,59659455.0
10,2000-11-01,132556,174.2,,474021224.0,59298015.0
11,2000-12-01,132709,174.6,,457219609.0,57136920.0
12,2001-01-01,132698,175.6,13219.251,454207959.0,59242238.0
13,2001-02-01,132789,176.0,,452474025.0,59019575.0
14,2001-03-01,132747,176.1,,453998566.0,59594636.0
15,2001-04-01,132463,176.4,13301.394,445839344.0,59952817.0
16,2001-05-01,132410,177.3,,453294542.0,59856224.0
17,2001-06-01,132299,177.7,,473664049.0,59763195.0
18,2001-07-01,132177,177.4,13248.142,468631605.0,59910163.0
19,2001-08-01,132028,177.4,,477766974.0,60485101.0
20,2001-09-01,131771,178.1,,486570641.0,43984632.0
21,2001-10-01,131454,177.6,13284.881,476095668.0,45458449.0
22,2001-11-01,131142,177.5,,473173819.0,47991467.0
23,2001-12-01,130982,177.4,,477266794.0,50203333.0
24,2002-01-01,130852,177.7,13394.91,470821238.0,52316925.0
25,2002-02-01,130736,178.0,,484444429.0,54122778.0
26,2002-03-01,130717,178.5,,442768417.0,54055317.0
27,2002-04-01,130623,179.3,13477.356,468081194.0,54315288.0
28,2002-05-01,130634,179.5,,448114013.0,54969115.0
29,2002-06-01,130684,179.6,,448305005.0,54994009.0
30,2002-07-01,130590,180.0,13531.741,467510565.0,54883570.0
31,2002-08-01,130587,180.5,,437146880.0,55271919.0
32,2002-09-01,130501,180.8,,424289277.0,54320541.0
33,2002-10-01,130628,181.2,13549.421,421630897.0,55176909.0
34,2002-11-01,130615,181.5,,428432376.0,55986872.0
35,2002-12-01,130472,181.8,,417887616.0,55938204.0
36,2003-01-01,130580,182.600,13619.434,460598616.0,56417258.0
37,2003-02-01,130444,183.600,,477773761.0,56212388.0
38,2003-03-01,130232,183.900,,484965777.0,54376261.0
39,2003-04-01,130177,183.200,13741.107,476281141.0,52384023.0
40,2003-05-01,130196,182.900,,478395641.0,53794148.0
41,2003-06-01,130194,183.100,,476243159.0,54755833.0
42,2003-07-01,130191,183.700,13970.157,481051165.0,56194969.0
43,2003-08-01,130149,184.5,,483118181.0,56670565.0
44,2003-09-01,130254,185.100,,467796664.0,57576280.0
45,2003-10-01,130454,184.9,14131.379,479074523.0,57637737.0
46,2003-11-01,130474,185.000,,475893965.0,59141797.0
47,2003-12-01,130588,185.500,,481795654.0,59674936.0
48,2004-01-01,130769,186.300,14212.34,481011217.0,59534920.0
49,2004-02-01,130825,186.700,,472964377.0,60879859.0
50,2004-03-01,131142,187.100,,463803634.0,61524217.0
51,2004-04-01,131411,187.400,14323.017,461783422.0,62188154.0
52,2004-05-01,131694,188.200,,466216307.0,61952458.0
53,2004-06-01,131793,188.900,,457917957.0,63165343.0
54,2004-07-01,131848,189.100,14457.832,455470739.0,62948537.0
55,2004-08-01,131937,189.200,,439237746.0,63159589.0
56,2004-09-01,132093,189.800,,439441367.0,62999729.0
57,2004-10-01,132447,190.8,14605.595,454047462.0,64180230.0
58,2004-11-01,132503,191.700,,459437255.0,63903410.0
59,2004-12-01,132624,191.700,,463731937.0,64565742.0
60,2005-01-01,132774,191.600,14767.846,456309138.0,65530999.0
61,2005-02-01,133032,192.400,,447536892.0,65836374.0
62,2005-03-01,133156,193.100,,453598456.0,66526683.0
63,2005-04-01,133518,193.700,14839.707,451443366.0,66281986.0
64,2005-05-01,133690,193.600,,450857114.0,67066149.0
65,2005-06-01,133942,193.700,,450672928.0,66648602.0
66,2005-07-01,134296,194.900,14956.291,448702639.0,66801213.0
67,2005-08-01,134498,196.100,,438430627.0,66200094.0
68,2005-09-01,134566,198.800,,468853777.0,66815055.0
69,2005-10-01,134655,199.100,15041.232,449053563.0,65198730.0
70,2005-11-01,134993,198.100,,450131696.0,66358265.0
71,2005-12-01,135149,198.100,,437392169.0,66697623.0
72,2006-01-01,135429,199.300,15244.088,442392754.0,66984808.0
73,2006-02-01,135737,199.400,,449795113.0,67252884.0
74,2006-03-01,136047,199.700,,442504504.0,67277154.0
75,2006-04-01,136205,200.700,15281.525,451543526.0,68198834.0
76,2006-05-01,136244,201.300,,445835297.0,67734701.0
77,2006-06-01,136325,201.800,,454292712.0,67293010.0
78,2006-07-01,136520,202.900,15304.517,451300176.0,67352037.0
79,2006-08-01,136694,203.800,,455425551.0,66265513.0
80,2006-09-01,136843,202.800,,461210419.0,67437715.0
81,2006-10-01,136852,201.900,15433.643,462923641.0,67636556.0
82,2006-11-01,137063,202.000,,461974932.0,68352062.0
83,2006-12-01,137249,203.100,,452888892.0,68554679.0
84,2007-01-01,137477,203.437,15478.956,458164195.0,69189875.0
85,2007-02-01,137558,204.226,,468633586.0,68762634.0
86,2007-03-01,137793,205.288,,476422488.0,69555100.0
87,2007-04-01,137842,205.904,15577.779,476363642.0,69818170.0
88,2007-05-01,137993,206.755,,477845955.0,69763481.0
89,2007-06-01,138069,207.234,,484922084.0,70308160.0
90,2007-07-01,138038,207.603,15671.605,482963127.0,70267458.0
91,2007-08-01,138015,207.667,,489926230.0,70832710.0
92,2007-09-01,138095,208.547,,487918526.0,70835546.0
93,2007-10-01,138174,209.190,15767.146,492134597.0,71109792.0
94,2007-11-01,138284,210.834,,510013625.0,70985981.0
95,2007-12-01,138392,211.445,,504014137.0,70723791.0
96,2008-01-01,138403,212.174,15702.906,498538581.0,70856156.0
97,2008-02-01,138324,212.687,,496516071.0,70963084.0
98,2008-03-01,138275,213.448,,502139106.0,71040340.0
99,2008-04-01,138035,213.942,15792.773,503063408.0,70266886.0
100,2008-05-01,137858,215.208,,531583545.0,70226959.0
101,2008-06-01,137687,217.463,,520934265.0,69363215.0
102,2008-07-01,137491,219.016,15709.562,539943541.0,68568725.0
103,2008-08-01,137213,218.690,,543667550.0,68684033.0
104,2008-09-01,136753,218.877,,534300076.0,65973792.0
105,2008-10-01,136272,216.995,15366.607,521744846.0,65888710.0
106,2008-11-01,135545,213.153,,499311443.0,65132254.0
107,2008-12-01,134839,211.398,,502638214.0,65177722.0
108,2009-01-01,134055,211.933,15187.475,503200695.0,64568988.0
109,2009-02-01,133312,212.705,,491833933.0,65335170.0
